UF,Total,Número de domicílios particulares ocupados,População residente em domicílios particulares,Área (ha),"Densidade demográfica
(hab/ha)",Densidade de domicílios particulares ocupados (dom/ha),Código da Unidade Geográfica
Acre,33,10001,36844,"1.012,8","36,4","9,9",12
Alagoas,212,36202,130428,"975,7","133,7","37,1",27
Amapá,154,23909,108086,"2.963,4","36,5","8,1",16
Amazonas,484,89933,381307,"13.668,3","27,9","6,6",13
Bahia,1211,302232,970940,"10.396,1","93,4","29,1",29
Ceará,566,121165,441937,"4.686,3","94,3","25,9",23
Distrito Federal,175,36504,133556,"3.503,6","38,1","10,4",53
Espírito Santo,377,70093,243327,"5.555,7","43,8","12,6",32
Goiás,15,2431,8823,"189,1","46,6","12,9",52
Maranhão,362,91786,348074,"9.416,8","37,0","9,7",21
Mato Grosso,74,16472,56982,"1.748,9","32,6","9,4",51
Mato Grosso do Sul,9,1879,7249,"687,6","10,5","2,7",50
Minas Gerais,978,171015,598731,"7.678,0","78,0","22,3",31
Pará,1186,324596,1267159,"22.676,4","55,9","14,3",15
Paraíba,178,36380,130927,"1.648,6","79,4","22,1",25
Paraná,308,61807,217223,"5.534,3","39,3","11,2",41
Pernambuco,1075,256088,875378,"12.244,8","71,5","20,9",26
Piauí,198,35127,131451,"1.399,2","93,9","25,1",22
Rio de Janeiro,3317,617466,2023744,"27.396,5","73,9","22,5",33
Rio Grande do Norte,105,24165,86718,"1.269,8","68,3","19,0",24
Rio Grande do Sul,448,86478,297540,"4.577,8","65,0","18,9",43
Rondônia,49,12605,47687,"2.552,7","18,7","4,9",11
Roraima,3,303,1157,"1.209,8","1,0","0,3",14
Santa Catarina,115,21769,75737,"4.926,1","15,4","4,4",42
São Paulo,4132,748801,2715067,"15.660,1","173,4","47,8",35
Sergipe,98,23225,82208,"3.161,6","26,0","7,3",28
Tocantins,6,2097,7364,"2.430,4","3,0","0,9",17